strike,window,trigger_rate,payout_frequency,premium_to_cap,shortfall_rate,overpay_rate,basis_risk_rmse,mae_full,mae_flat,mae_improvement_pct
55,14,1.0,0.07119386637458927,0.8499822993847086,0.0,1.0,25.550712467191097,17.428945460212308,14.00176549322664,-24.476770223323385
60,14,1.0,0.07119386637458927,0.8336012654812086,0.0,1.0,23.21169532190897,19.665985691365826,15.633870667447162,-25.790894076630245
65,14,1.0,0.07119386637458927,0.815308282484951,0.0,1.0,21.03757509648312,22.612914155954698,17.743670610346918,-27.442143469279483
70,14,0.7115384615384616,0.05065717415115006,0.7895114917924551,0.0,0.46276013143483025,19.355281673193474,18.141945595939372,18.086234693926944,-0.3080292993827813
75,14,0.5538461538461539,0.03943044906900329,0.7548124735983481,0.012671899720092491,0.35863149567968844,17.65916835292619,14.445243446462316,19.244205325132693,24.93717873817836
80,14,0.46153846153846156,0.03285870755750274,0.7085109120105297,0.05214798588292564,0.30188176950225143,15.709806377197232,12.455436652732619,20.398633106940824,38.93984666798806
85,14,0.4076923076923077,0.029025191675794086,0.6449194808459078,0.1080762443714251,0.24234818060119265,13.319842753036903,12.782641508681392,21.859078583590478,41.52250535263975
90,14,0.3346153846153846,0.023822562979189485,0.5397438050076546,0.17790860411342338,0.17203663137398076,10.229513275135496,12.894831914105113,22.349391559403767,42.30343193088197
95,14,0.23076923076923078,0.01642935377875137,0.36541310889748874,0.2728946087379822,0.07691371546793234,6.056137160014222,14.685720628425278,22.240230425349154,33.967767655470574
96,14,0.19615384615384615,0.013964950711938665,0.317378851550964,0.29385724717050016,0.05595107703541438,5.107821052582535,14.881323970953352,22.007022380286752,32.379202811718834
97,14,0.1576923076923077,0.011226725082146768,0.26499237895971295,0.31599884386028965,0.03380948034562493,4.235437596038777,15.916320660659675,21.447392472176265,25.78901756328681
98,14,0.11153846153846154,0.007940854326396496,0.19646310654999785,0.3369614822928076,0.012846841913106973,3.6961067939480574,14.383331410279462,20.132013511476533,28.554928685697313
99,14,0.04230769230769231,0.0030120481927710845,0.1117423117880556,0.3467202141900937,0.003088110015820859,3.481961849275127,17.06185630812871,22.051775671021787,22.628197553498257
55,30,1.0,0.03313253012048193,0.9175922644696949,0.0,1.0,25.550712467191097,16.964860285684413,13.642074629214479,-24.356893997297117
60,30,1.0,0.03313253012048193,0.9090293737156451,0.0,1.0,23.21169532190897,19.13303606505794,15.253784760318576,-25.431401882835708
65,30,1.0,0.03313253012048193,0.896444207807155,0.0,1.0,21.03757509648312,21.8775654038236,17.36534531800957,-25.984050435981903
70,30,0.7933884297520661,0.02628696604600219,0.88224156934437,0.0,0.46276013143483025,19.355281673193474,19.05653527160534,17.721658461682928,-7.532459858701324
75,30,0.6363636363636364,0.02108433734939759,0.863803128005159,0.012671899720092491,0.35863149567968844,17.65916835292619,15.401923833004542,18.3407943111215,16.02368157160393
80,30,0.5454545454545454,0.018072289156626505,0.8351508738317719,0.05214798588292564,0.30188176950225143,15.709806377197232,13.558958056376037,19.706778969123047,31.196477731746686
85,30,0.47107438016528924,0.0156078860898138,0.7924131340916318,0.1080762443714251,0.24234818060119265,13.319842753036903,12.489348376857201,21.356536914244014,41.519786531835734
90,30,0.3884297520661157,0.012869660460021906,0.7145433259613042,0.17790860411342338,0.17203663137398076,10.229513275135496,11.356520368378769,22.838462345391346,50.274584178954406
95,30,0.3140495867768595,0.0104052573932092,0.5619158631455842,0.2728946087379822,0.07691371546793234,6.056137160014222,14.328494427473014,21.789562580450095,34.24147742952517
96,30,0.24793388429752067,0.008214676889375685,0.50734306811289,0.29385724717050016,0.05595107703541438,5.107821052582535,12.912923464655645,23.50071938325045,45.0530715504011
97,30,0.2066115702479339,0.006845564074479737,0.4326068052767653,0.31599884386028965,0.03380948034562493,4.235437596038777,12.673107217438913,24.105868530637096,47.42729472148177
98,30,0.17355371900826447,0.005750273822562979,0.33717294898670663,0.3369614822928076,0.012846841913106973,3.6961067939480574,13.62849720253264,20.624645601375292,33.921302378044906
99,30,0.0743801652892562,0.0024644030668127055,0.20932258620853197,0.3467202141900937,0.003088110015820859,3.481961849275127,13.866625874906951,22.814493323366147,39.220101545253115
55,60,1.0,0.01642935377875137,0.9557637209287277,0.0,1.0,25.550712467191097,14.803596618881611,12.523695337001001,-18.204700933155795
60,60,1.0,0.01642935377875137,0.950540234291584,0.0,1.0,23.21169532190897,16.662353569852012,14.071757254126128,-18.40989912589821
65,60,1.0,0.01642935377875137,0.944500449600985,0.0,1.0,21.03757509648312,19.070536718530573,16.07243994845317,-18.653650470574277
70,60,0.9,0.014786418400876232,0.9366584464130421,0.0,0.46276013143483025,19.355281673193474,18.998419380930983,17.113876997474755,-11.011779409974155
75,60,0.75,0.012322015334063527,0.9245474335689642,0.012671899720092491,0.35863149567968844,17.65916835292619,15.827022709184137,16.998063030941157,6.889257438482282
80,60,0.65,0.01067907995618839,0.9070699361530816,0.05214798588292564,0.30188176950225143,15.709806377197232,13.87542823199054,17.72225555283825,21.70619484285471
85,60,0.5666666666666667,0.009309967141292442,0.8814034123840496,0.1080762443714251,0.24234818060119265,13.319842753036903,12.6425779756576,18.765778763400135,32.62961193854064
90,60,0.48333333333333334,0.007940854326396496,0.836447598218211,0.17790860411342338,0.17203663137398076,10.229513275135496,12.26547161890773,21.460044590374096,42.84507859592516
95,60,0.38333333333333336,0.006297918948521358,0.7167186504819386,0.2728946087379822,0.07691371546793234,6.056137160014222,12.553446191590151,21.961930114550313,42.83996840845429
96,60,0.3333333333333333,0.00547645125958379,0.6678183673956698,0.29385724717050016,0.05595107703541438,5.107821052582535,11.555776804458835,22.59096508474735,48.84779485467444
97,60,0.2833333333333333,0.004654983570646221,0.5993087016636446,0.31599884386028965,0.03380948034562493,4.235437596038777,11.057933323232334,24.147738753599715,54.2071684803865
98,60,0.25,0.004107338444687842,0.5026399592067509,0.3369614822928076,0.012846841913106973,3.6961067939480574,11.790996848206753,20.942866969171558,43.69922291172739
99,60,0.11666666666666667,0.0019167579408543264,0.3295571061158246,0.3467202141900937,0.003088110015820859,3.481961849275127,14.084780347885017,24.191926238089813,41.779004246016804
55,90,1.0,0.01095290251916758,0.9659290515794285,0.0,1.0,25.550712467191097,12.00927510677039,11.097710146817935,-8.2139914260946
60,90,1.0,0.01095290251916758,0.9628229552230887,0.0,1.0,23.21169532190897,13.538596258761752,12.543878332388983,-7.929907322238226
65,90,1.0,0.01095290251916758,0.958697425787201,0.0,1.0,21.03757509648312,15.501642166546757,14.422363808444551,-7.483366613386007
70,90,0.9,0.009857612267250822,0.9521975043248979,0.0,0.46276013143483025,19.355281673193474,14.269057678049942,14.500122679015314,1.5935382484713163
75,90,0.775,0.008488499452354874,0.9430755214272019,0.012671899720092491,0.35863149567968844,17.65916835292619,10.536383116036282,13.008604616716042,19.0045095036785
80,90,0.75,0.008214676889375685,0.9322355048356028,0.05214798588292564,0.30188176950225143,15.709806377197232,11.854458972497468,14.523177547394186,18.37558320958178
85,90,0.675,0.007393209200438116,0.9130376155699981,0.1080762443714251,0.24234818060119265,13.319842753036903,11.191722540931133,15.265038463247024,26.6839545286639
90,90,0.6,0.0065717415115005475,0.873988431596503,0.17790860411342338,0.17203663137398076,10.229513275135496,11.856188139331882,16.547908972530998,28.352348571576158
95,90,0.5,0.00547645125958379,0.7853620877976133,0.2728946087379822,0.07691371546793234,6.056137160014222,15.420823300009376,20.268773365894546,23.9183199612988
96,90,0.375,0.004107338444687842,0.7454912311437454,0.29385724717050016,0.05595107703541438,5.107821052582535,10.23508105571931,23.172320310079733,55.830573206485724
97,90,0.325,0.0035596933187294635,0.6830747238233119,0.31599884386028965,0.03380948034562493,4.235437596038777,9.210859671413532,24.9255022686014,63.046443068004166
98,90,0.3,0.0032858707557502738,0.5876293772727439,0.3369614822928076,0.012846841913106973,3.6961067939480574,10.188607988588243,21.82117705471631,53.30862325602123
99,90,0.175,0.0019167579408543264,0.41235757631199,0.3467202141900937,0.003088110015820859,3.481961849275127,13.689980592872441,21.53956756117779,36.44263955629818
