strike,window,trigger_rate,payout_frequency,premium_to_cap,shortfall_rate,overpay_rate,basis_risk_rmse,mae_full,mae_flat,mae_improvement_pct
55.0,14,1.0,0.07119386637458927,0.929117662116511,0.0,1.0,31.91794454472746,14.424513128555297,9.973700325666945,-44.62549161853552
60.0,14,1.0,0.07119386637458927,0.9207052034468058,0.0,1.0,29.344043451612748,16.2430995392798,10.99458354061707,-47.737287904296174
65.0,14,1.0,0.07119386637458927,0.9108929728247254,0.0,1.0,26.1329474495773,18.616622611252705,12.317507382338025,-51.13952874870552
70.0,14,1.0,0.07119386637458927,0.8968350724771826,0.0,1.0,22.10079454619098,21.747219718587765,14.093105768550245,-54.31105162864961
75.0,14,1.0,0.07119386637458927,0.8812099445930798,0.0,1.0,17.285704024422756,26.2743341773514,16.59698846103225,-58.307841443888464
80.0,14,0.5076923076923077,0.03614457831325301,0.8574065849662148,0.0019471826700742363,0.3170561032006815,13.68203662652612,17.74960278558115,21.456996148669244,17.278249655266986
85.0,14,0.38461538461538464,0.027382256297918947,0.8167242969686309,0.053463855421686746,0.17663837166849214,11.607294354279086,12.494141285158985,23.255425742168782,46.274295625972954
90.0,14,0.3269230769230769,0.023274917853231106,0.7542753040446579,0.11487617135207497,0.11356030181331386,9.268994839584074,12.505365681513673,23.839584841397045,47.54369354705241
95.0,14,0.23076923076923078,0.01642935377875137,0.6149421074495789,0.17440215407082876,0.05403431909456006,6.374855784484903,12.585787628918524,25.04177469494709,49.74083194088447
96.0,14,0.20384615384615384,0.014512595837897043,0.5664197478333032,0.18545393695996107,0.042982536205427774,5.672459885743634,12.762290655252096,24.857803801855727,48.65881653511424
97.0,14,0.17307692307692307,0.012322015334063527,0.49522350434270623,0.1964829013021784,0.03195357186321042,4.894140395978404,13.953632307515921,24.453222220138635,42.93744938029352
98.0,14,0.13076923076923078,0.009309967141292442,0.40618693470931905,0.20698703906535232,0.02144943410003651,3.9877269512992237,16.44225103589078,24.430782340945495,32.698630742029486
99.0,14,0.06538461538461539,0.004654983570646221,0.2638308120373333,0.21819094560058416,0.010245527564804673,2.9589972418018125,21.65929519427686,31.99355097193744,32.30105900631376
99.2,14,0.06153846153846154,0.004381161007667032,0.21937788768087602,0.2206781672143118,0.007758305951077036,2.7324903318049443,21.583588991259546,29.76831575999012,27.494759309598543
99.4,14,0.05,0.0035596933187294635,0.17426582394751025,0.22296762808811002,0.005468845077278813,2.5124307025455206,22.51313317437756,30.16423898675037,25.364822947244097
99.5,14,0.05,0.0035596933187294635,0.14999328252311436,0.22430631617378605,0.004130156991602775,2.425725764164773,21.372139407828538,26.15734596042032,18.293929972224475
99.6,14,0.04230769230769231,0.0030120481927710845,0.12486010028710283,0.22525708896190824,0.003179384203480589,2.337196152523546,20.68362740452006,25.410653198936533,18.602535548414416
99.7,14,0.03076923076923077,0.002190580503833516,0.09534641144522008,0.2262154679323354,0.002221005233053426,2.2461747906539298,23.827514495357548,27.013288010363848,11.793357083314161
99.8,14,0.023076923076923078,0.0016429353778751369,0.0658582716449239,0.22688481197517343,0.001551661190215407,2.1596140658845684,21.764582349564566,24.696652681685276,11.872339016595133
99.9,14,0.011538461538461539,0.0008214676889375684,0.036801557392129036,0.22799531459170014,0.0004411585736886942,2.1277951960144663,21.247591944143863,22.95043617206662,7.419659544402553
99.95,14,0.0038461538461538464,0.0002738225629791895,0.01870048423779881,0.22816265060240964,0.0002738225629791895,2.141791883829801,53.22161872454679,54.00736709871713,1.4548910942725874
99.99,14,0.0038461538461538464,0.0002738225629791895,0.003939539301699313,0.22816265060240964,0.0002738225629791895,2.1406367147337386,53.81828335463155,53.8035554935858,-0.027373397372431958
55.0,30,1.0,0.03313253012048193,0.9666290343021048,0.0,1.0,31.91794454472746,14.33860314645232,10.781969335975429,-32.98686631031053
60.0,30,1.0,0.03313253012048193,0.9629028655251202,0.0,1.0,29.344043451612748,16.146617399124892,11.965320033308194,-34.945136061359875
65.0,30,1.0,0.03313253012048193,0.9576063873951128,0.0,1.0,26.1329474495773,18.453387348069814,13.4917357641586,-36.77548738459631
70.0,30,1.0,0.03313253012048193,0.9501460182835437,0.0,1.0,22.10079454619098,21.51495969280122,15.536559313779009,-38.479564608105406
75.0,30,1.0,0.03313253012048193,0.9407556821228061,0.0,1.0,17.285704024422756,25.838525596393257,18.412607279382577,-40.33061806149428
80.0,30,0.5785123966942148,0.019167579408543262,0.9273786695566898,0.0019471826700742363,0.3170561032006815,13.68203662652612,17.722098126597594,22.39263214644731,20.857458780658423
85.0,30,0.4297520661157025,0.014238773274917854,0.9061936194661677,0.053463855421686746,0.17663837166849214,11.607294354279086,9.939853579553688,24.28374973490662,59.06788001003952
90.0,30,0.38016528925619836,0.012595837897042717,0.8697273117284072,0.11487617135207497,0.11356030181331386,9.268994839584074,9.088865055852963,24.83620522883564,63.40477551981051
95.0,30,0.3305785123966942,0.01095290251916758,0.775551687670128,0.17440215407082876,0.05403431909456006,6.374855784484903,11.888015790993453,24.27384165246155,51.0254043789236
96.0,30,0.30578512396694213,0.010131434830230011,0.7362198594104175,0.18545393695996107,0.042982536205427774,5.672459885743634,12.41363074729146,23.369137819412686,46.88023647590675
97.0,30,0.2809917355371901,0.009309967141292442,0.6866784098476572,0.1964829013021784,0.03195357186321042,4.894140395978404,14.866339988885297,23.04620382767276,35.49332419322561
98.0,30,0.21487603305785125,0.007119386637458927,0.597249119503058,0.20698703906535232,0.02144943410003651,3.9877269512992237,14.90262203262374,24.367729850219128,38.84279691122016
