strike,window,trigger_rate,payout_frequency,premium_to_cap,shortfall_rate,overpay_rate,basis_risk_rmse,mae_full,mae_flat,mae_improvement_pct
55.0,14,1.0,0.07119386637458927,0.8691390320088808,0.0,1.0,40.71129238875469,13.893565938645994,12.054155289210842,-15.259556603535126
60.0,14,1.0,0.07119386637458927,0.8546258507063618,0.0,1.0,37.98429315393704,15.679530354146202,13.352022816451916,-17.431872081782316
65.0,14,1.0,0.07119386637458927,0.836113244245057,0.0,1.0,34.654961475613455,17.979880495863842,15.034798158085794,-19.58843947761392
70.0,14,1.0,0.07119386637458927,0.8145501988933423,0.0,1.0,30.629214749508332,21.133057726986642,17.29385337227972,-22.199820202366087
75.0,14,1.0,0.07119386637458927,0.7860225341207928,0.0,1.0,26.166874868492346,25.59341115205786,20.474516557640978,-25.001296514161353
80.0,14,0.6884615384615385,0.04901423877327492,0.7482196556482793,0.0,0.458105147864184,22.607020262253116,22.24706125909348,22.54373297123132,1.3159830828214258
85.0,14,0.4653846153846154,0.03313253012048193,0.6854721374744722,0.0,0.30312157721796273,19.27390531799868,16.58565068936941,26.06254390413152,36.362118945955245
90.0,14,0.38076923076923075,0.02710843373493976,0.585733254000703,0.04079195570159425,0.20384568577339662,15.321739237114363,16.60453553847831,27.636126475761507,39.91728344042189
95.0,14,0.2846153846153846,0.020262869660460023,0.40133636694949265,0.13688085676037484,0.09977029329438968,9.98556509571375,19.424498447478143,28.49834625166697,31.839910021649292
96.0,14,0.25384615384615383,0.018072289156626505,0.352728005386296,0.15797280029207741,0.07863271266885724,8.60752752108356,19.74300690874833,28.935151537921005,31.76808877992533
97.0,14,0.2230769230769231,0.01588170865279299,0.29331869727661275,0.18045667518559086,0.056126019228428865,7.088848790039079,19.675100302074235,27.166126544165778,27.57487796397062
98.0,14,0.15384615384615385,0.01095290251916758,0.22164212428855007,0.20461391018619934,0.031968784227820374,5.474527524368088,23.785551470959284,29.754536118284975,20.06075518568608
99.0,14,0.08846153846153847,0.006297918948521358,0.12957827638020428,0.22467141292442497,0.011911281489594742,3.767651453716039,26.43827501578968,31.144439896449235,15.110770642550877
99.2,14,0.07692307692307693,0.00547645125958379,0.10767778087996831,0.22774431057563588,0.008838383838383838,3.425134517781192,24.74465346455353,28.942524066667634,14.504162084980987
99.4,14,0.05,0.0035596933187294635,0.0852978150534399,0.22998813435560422,0.00659456005841548,3.0594612422090153,30.597824632516293,33.98806061247922,9.974785024121525
99.5,14,0.046153846153846156,0.0032858707557502738,0.0745849186056091,0.2308476329560667,0.005735061457953024,2.846351876249887,28.34960531647483,31.549022255735913,10.141096967527732
99.6,14,0.038461538461538464,0.002738225629791895,0.06380788373617254,0.2326046610685165,0.003978033345503225,2.6665732484664253,27.346910950879046,30.192669017767958,9.425327933791557
99.7,14,0.03076923076923077,0.002190580503833516,0.05096634720762461,0.233783619325788,0.0027990750882317147,2.4909057946460544,24.8471506125212,27.232462227727186,8.759074354934166
99.8,14,0.019230769230769232,0.0013691128148959474,0.0349696432834778,0.23521358159912376,0.0013691128148959474,2.370251695105256,18.587650404337545,20.43719320966528,9.049886578618043
99.9,14,0.0038461538461538464,0.0002738225629791895,0.019716480724924077,0.23603504928806135,0.000547645125958379,2.317425190019906,56.66991835040134,57.716519412174335,1.8133474998706063
99.95,14,0.0038461538461538464,0.0002738225629791895,0.009424477987327227,0.23603504928806135,0.000547645125958379,2.2194426372889917,49.785992537267056,50.190238824348675,0.8054281002654015
55.0,30,1.0,0.03313253012048193,0.9285148710501784,0.0,1.0,40.71129238875469,14.13044532612328,11.964380053280227,-18.10428340789117
60.0,30,1.0,0.03313253012048193,0.91996384230639,0.0,1.0,37.98429315393704,15.906539345044749,13.251022235268849,-20.040092474586526
65.0,30,1.0,0.03313253012048193,0.9103623453153828,0.0,1.0,34.654961475613455,18.225532460676995,14.929489440051153,-22.077399457369175
70.0,30,1.0,0.03313253012048193,0.8975438665774369,0.0,1.0,30.629214749508332,21.31806312514677,17.213321727342365,-23.84630615068481
