strike,window,trigger_rate,payout_frequency,premium_to_cap,shortfall_rate,overpay_rate,basis_risk_rmse,mae_full,mae_flat,mae_improvement_pct
55,14,0.6923076923076923,0.04928806133625411,0.8188940263973497,0.38898016307654865,0.5562781428745284,141.64923982390016,108.88536229197373,106.9659763013651,-1.7943892600026095
60,14,0.6615384615384615,0.047097480832420595,0.7978113075554087,0.4458744067177802,0.4993610806863819,130.90663768070453,111.31058408253222,108.87725170394974,-2.234931852614171
65,14,0.6230769230769231,0.0443592552026287,0.7740558575043792,0.5118732505780699,0.4333165997322624,120.2259683629157,113.67800486081526,110.91316605052326,-2.4927958589087282
70,14,0.6038461538461538,0.04299014238773275,0.7438603509684314,0.5954956188389924,0.3496942314713399,109.96320088054267,126.74711959781192,116.69401806375996,-8.61492448444023
75,14,0.5538461538461539,0.03943044906900329,0.7037535796691766,0.6882454058658878,0.2569444444444444,101.15297745889944,136.92906427116796,124.88939436178825,-9.640266069753178
80,14,0.43846153846153846,0.0312157721796276,0.6551146570639519,0.7680646829743215,0.17712516733601072,93.97306661081988,133.594405790058,138.81818956805486,3.7630398395564186
85,14,0.3076923076923077,0.02190580503833516,0.5912102194744654,0.8275374224169405,0.11765242789339175,87.30060117061323,130.93003626995562,176.1686261184491,25.679140971489883
90,14,0.20384615384615384,0.014512595837897043,0.4898256301003552,0.8697289156626506,0.07546093464768164,80.30914611476653,131.43651989975987,215.9396073533761,39.132741088729716
95,14,0.12692307692307692,0.009036144578313253,0.3281224272635544,0.908102105391262,0.03708774491907022,73.58581532066677,183.61568381728932,261.86929627978583,29.88269857298923
96,14,0.11538461538461539,0.008214676889375685,0.2776702600605016,0.9153507971279056,0.029839053182426675,72.31138023919696,203.77141953441804,263.5218088315352,22.673792944140928
97,14,0.09615384615384616,0.006845564074479737,0.21980675284871729,0.9224093343069246,0.02278051600340757,70.95216752833535,229.53878172406525,288.4909059770179,20.434656008757855
98,14,0.08846153846153847,0.006297918948521358,0.15977606747524883,0.9301372155287818,0.015052634781550445,69.84383149974356,243.3232955699022,270.3531760914037,9.997988894483337
99,14,0.06538461538461539,0.004654983570646221,0.09318962351361439,0.9366252890349276,0.008564561275404649,68.66374863029655,280.61165977769195,297.85039833214165,5.787717139537372
55,30,0.7520661157024794,0.024917853231106242,0.9043211832011676,0.38898016307654865,0.5562781428745284,141.64923982390016,127.08862432352214,110.97899309258223,-14.515928449180235
60,30,0.7272727272727273,0.024096385542168676,0.8934686675942141,0.4458744067177802,0.4993610806863819,130.90663768070453,134.16893538956197,117.47714440600303,-14.208543345139388
65,30,0.6528925619834711,0.02163198247535597,0.8801929122641022,0.5118732505780699,0.4333165997322624,120.2259683629157,124.69668134359682,118.65457037133294,-5.09218562197387
70,30,0.6198347107438017,0.02053669222343921,0.8620808781041883,0.5954956188389924,0.3496942314713399,109.96320088054267,132.1850277789052,125.77631100801587,-5.095328937164413
75,30,0.5785123966942148,0.019167579408543262,0.8366264138221927,0.6882454058658878,0.2569444444444444,101.15297745889944,142.57432993150007,136.47915573483033,-4.466011065097921
80,30,0.4793388429752066,0.01588170865279299,0.8014602005238834,0.7680646829743215,0.17712516733601072,93.97306661081988,134.85706504726392,149.73959032299703,9.938938154986694
85,30,0.3884297520661157,0.012869660460021906,0.7533221924510286,0.8275374224169405,0.11765242789339175,87.30060117061323,133.48296751703032,167.39582224942956,20.259080708637462
90,30,0.2644628099173554,0.008762322015334063,0.6696937057073858,0.8697289156626506,0.07546093464768164,80.30914611476653,117.72437024360572,217.82238482620517,45.95396137199813
95,30,0.19008264462809918,0.006297918948521358,0.5052826134965278,0.908102105391262,0.03708774491907022,73.58581532066677,136.01955566892107,245.40202784450415,44.572766222164994
96,30,0.18181818181818182,0.006024096385542169,0.4499090680624889,0.9153507971279056,0.029839053182426675,72.31138023919696,154.24113221405207,237.50011038529638,35.05639556805817
97,30,0.1487603305785124,0.004928806133625411,0.38159864005779603,0.9224093343069246,0.02278051600340757,70.95216752833535,173.88480172232664,261.9895831177497,33.62911622170294
98,30,0.1322314049586777,0.004381161007667032,0.29413268249691477,0.9301372155287818,0.015052634781550445,69.84383149974356,216.66906582079284,264.75730124776317,18.16313854248301
99,30,0.09917355371900827,0.0032858707557502738,0.17189538663604817,0.9366252890349276,0.008564561275404649,68.66374863029655,271.95492180446536,303.54313615053525,10.406499302426802
55,60,0.8,0.013143483023001095,0.9474950155134987,0.38898016307654865,0.5562781428745284,141.64923982390016,114.4404816642475,101.61827424553043,-12.618013358243035
60,60,0.7666666666666667,0.012595837897042717,0.9421640941702549,0.4458744067177802,0.4993610806863819,130.90663768070453,116.23916690050369,104.80529282171743,-10.909634209253378
65,60,0.7166666666666667,0.011774370208105149,0.9345600029828143,0.5118732505780699,0.4333165997322624,120.2259683629157,112.83707723823487,105.92861242865438,-6.521811861014909
70,60,0.7166666666666667,0.011774370208105149,0.9237712607982996,0.5954956188389924,0.3496942314713399,109.96320088054267,131.6659384966122,116.59962667261823,-12.921406572163649
75,60,0.6833333333333333,0.011226725082146768,0.9101134235674295,0.6882454058658878,0.2569444444444444,101.15297745889944,146.3012165604583,129.66980939055694,-12.825967160797362
80,60,0.5666666666666667,0.009309967141292442,0.8902702644522488,0.7680646829743215,0.17712516733601072,93.97306661081988,130.61309579341747,135.79967727823308,3.8192885202437417
85,60,0.5,0.008214676889375685,0.8575721908032496,0.8275374224169405,0.11765242789339175,87.30060117061323,144.0784574669919,162.62477066967506,11.404359327494216
90,60,0.35,0.005750273822562979,0.8001777970870593,0.8697289156626506,0.07546093464768164,80.30914611476653,117.74097905548602,206.51352505620912,42.98631093365961
95,60,0.25,0.004107338444687842,0.6715513596406445,0.908102105391262,0.03708774491907022,73.58581532066677,121.3280889896972,253.07681516413953,52.058789379419544
96,60,0.23333333333333334,0.0038335158817086527,0.619419289188508,0.9153507971279056,0.029839053182426675,72.31138023919696,134.7290374829357,261.37784866495946,48.45430162843115
97,60,0.21666666666666667,0.0035596933187294635,0.5528185096492308,0.9224093343069246,0.02278051600340757,70.95216752833535,155.85827469245936,263.8083145301408,40.91987776425746
98,60,0.2,0.0032858707557502738,0.43938024384821395,0.9301372155287818,0.015052634781550445,69.84383149974356,199.10973372945594,278.0418374774349,28.38857075039467
99,60,0.16666666666666666,0.002738225629791895,0.27530387341000484,0.9366252890349276,0.008564561275404649,68.66374863029655,253.25970517892537,297.19952746811776,14.78462050849191
55,90,0.9,0.009857612267250822,0.960912701993438,0.38898016307654865,0.5562781428745284,141.64923982390016,111.89713681083833,98.8261153461603,-13.226282768369375
60,90,0.9,0.009857612267250822,0.9567152742953766,0.4458744067177802,0.4993610806863819,130.90663768070453,126.01747772366689,110.9432130977637,-13.587369794869442
65,90,0.825,0.009036144578313253,0.951549560668546,0.5118732505780699,0.4333165997322624,120.2259683629157,118.08536836552429,110.83617265119271,-6.540460159288592
70,90,0.75,0.008214676889375685,0.9434296766879503,0.5954956188389924,0.3496942314713399,109.96320088054267,108.53016340470104,111.91630272964687,3.025599704741528
75,90,0.75,0.008214676889375685,0.9330891991888425,0.6882454058658878,0.2569444444444444,101.15297745889944,130.3774635830364,130.35782154824332,-0.015067783858137179
80,90,0.675,0.007393209200438116,0.9183394663780081,0.7680646829743215,0.17712516733601072,93.97306661081988,133.81302203518203,149.2754727344204,10.358333097861282
85,90,0.55,0.006024096385542169,0.8935214645223419,0.8275374224169405,0.11765242789339175,87.30060117061323,114.5484568733771,170.03217702468595,32.631306098758884
90,90,0.425,0.004654983570646221,0.8501040707240192,0.8697289156626506,0.07546093464768164,80.30914611476653,87.61928431778222,192.11546969647554,54.39238471726796
95,90,0.35,0.0038335158817086527,0.7417500209884137,0.908102105391262,0.03708774491907022,73.58581532066677,111.15896282896371,229.72528765610787,51.612221726601796
96,90,0.325,0.0035596933187294635,0.6948317788384053,0.9153507971279056,0.029839053182426675,72.31138023919696,118.68677347036758,242.6705634800439,51.091400716952705
97,90,0.3,0.0032858707557502738,0.6312891225653248,0.9224093343069246,0.02278051600340757,70.95216752833535,131.27848362768114,245.1531310056257,46.45041526119909
98,90,0.3,0.0032858707557502738,0.5295287742506019,0.9301372155287818,0.015052634781550445,69.84383149974356,173.0283250730491,253.75381596904865,31.812522932008218
99,90,0.25,0.002738225629791895,0.3580178714652929,0.9366252890349276,0.008564561275404649,68.66374863029655,224.45538249615188,271.23352817456396,17.246446629675518
